"X2020.01.27.cases","X2020.02.03.cases","X2020.02.10.cases","X2020.02.17.cases","X2020.02.24.cases","X2020.03.02.cases","X2020.03.09.cases","X2020.03.16.cases","X2020.03.23.cases","X2020.03.30.cases","X2020.04.06.cases","X2020.04.13.cases","X2020.04.20.cases","X2020.04.27.cases","X2020.05.04.cases","X2020.05.11.cases","X2020.05.18.cases","X2020.01.27.deaths","X2020.02.03.deaths","X2020.02.10.deaths","X2020.02.17.deaths","X2020.02.24.deaths","X2020.03.02.deaths","X2020.03.09.deaths","X2020.03.16.deaths","X2020.03.23.deaths","X2020.03.30.deaths","X2020.04.06.deaths","X2020.04.13.deaths","X2020.04.20.deaths","X2020.04.27.deaths","X2020.05.04.deaths","X2020.05.11.deaths","X2020.05.18.deaths"
0,0,0,0,0,0,0,0,0,7,5,7,9,11,14,31,36,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0
0,0,0,0,0,0,0,1,2,15,20,40,39,51,20,36,36,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2
0,0,0,0,0,0,0,0,0,0,3,7,12,13,10,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,2,5,10,15,10,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,5,5,5,7,12,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2,0,4,5,1,4,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,7,6,20,80,82,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4
0,0,0,0,0,0,0,0,2,7,29,23,19,10,15,20,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,2,34,60,116,45,32,13,17,10,0,0,0,0,0,0,0,0,0,4,3,1,5,5,3,0,1
0,0,0,0,0,0,0,0,0,2,4,3,3,2,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,10,13,10,8,7,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,2,4,4,7,22,12,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,9,10,5,3,16,20,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,2,7,5,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,28,28,34,36,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,4,3,3,6,7,18,29,23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,4,10,5,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,3,8,11,10,11,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,3,6,13,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,2,6,12,19,5,8,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,8,9,4,9,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,5,7,12,11,28,57,29,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
0,0,0,0,0,0,0,0,0,4,10,14,18,28,16,68,38,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,1,5,6,8,17,31,11,32,41,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2
0,0,0,0,0,0,0,0,0,1,2,7,6,10,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,6,36,36,22,26,20,47,13,0,0,0,0,0,0,0,0,0,0,3,4,0,1,2,0,0
0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,4,3,8,25,93,111,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,5,10,14,14,15,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
0,0,0,0,0,0,0,0,0,1,4,10,16,10,15,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,4,9,5,4,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,7,16,23,23,9,18,10,30,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
0,0,0,0,0,0,0,0,1,6,10,9,13,6,5,10,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,17,69,171,181,179,71,151,153,139,224,0,0,0,0,0,0,0,0,0,0,11,4,11,10,12,13,13
0,0,0,0,0,0,0,0,1,0,4,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,9,4,6,2,6,33,33,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,5,0,2,2,2,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,18,55,44,132,61,57,35,26,23,0,0,0,0,0,0,0,0,0,2,1,6,6,9,4,2,1
0,0,0,0,0,0,0,1,0,19,12,5,1,4,5,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,5,10,15,8,36,28,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3
0,0,0,0,0,0,0,0,0,1,4,12,9,8,6,9,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
