"fips","1.31.2020","2.7.2020","2.14.2020","2.21.2020","2.28.2020","3.6.2020","3.13.2020","3.20.2020","3.27.2020","4.3.2020","4.10.2020","4.17.2020","4.24.2020","5.1.2020","5.8.2020","5.15.2020","5.22.2020","5.29.2020","6.5.2020","6.12.2020","6.19.2020","6.26.2020"
"01001",0,0,0,0,0,0,0,0,6,6,5,8,11,6,25,36,46,63,36,75,88,68
"01003",0,0,0,0,0,0,0,2,3,23,31,44,44,28,33,36,27,11,14,57,60,64
"01005",0,0,0,0,0,0,0,0,0,1,8,6,17,10,11,26,25,43,36,38,45,39
"01007",0,0,0,0,0,0,0,0,0,4,7,12,11,8,2,5,6,16,5,21,29,23
"01009",0,0,0,0,0,0,0,0,5,4,3,8,11,8,5,1,4,11,4,31,44,37
"01011",0,0,0,0,0,0,0,0,2,0,2,4,4,2,7,11,57,112,18,39,62,31
"01013",0,0,0,0,0,0,0,0,1,0,2,10,8,44,97,96,71,67,35,68,70,19
"01015",0,0,0,0,0,0,0,1,2,17,34,9,26,4,30,6,8,16,16,19,22,23
"01017",0,0,0,0,0,0,0,1,14,66,90,65,46,8,21,15,4,22,11,64,80,42
"01019",0,0,0,0,0,0,0,0,1,4,2,5,0,3,6,5,7,3,2,8,12,6
"01021",0,0,0,0,0,0,0,0,7,8,12,10,12,3,11,12,10,14,9,14,36,27
"01023",0,0,0,0,0,0,0,0,1,3,3,6,12,24,10,22,54,14,4,13,20,2
"01025",0,0,0,0,0,0,0,0,0,3,10,11,0,10,18,18,22,42,15,26,34,35
"01027",0,0,0,0,0,0,0,0,1,7,3,3,5,2,5,1,0,0,1,2,0,5
"01029",0,0,0,0,0,0,0,0,3,4,5,0,0,0,1,0,0,1,1,5,2,1
"01031",0,0,0,0,0,0,0,0,0,6,8,36,37,30,26,19,27,37,14,25,49,16
"01033",0,0,0,0,0,0,0,0,1,4,3,5,10,10,30,20,34,48,32,44,56,35
"01035",0,0,0,0,0,0,0,0,0,1,2,5,1,0,3,6,6,14,4,34,58,21
"01037",0,0,0,0,0,0,0,0,2,4,4,10,9,0,2,2,0,5,2,3,5,6
"01039",0,0,0,0,0,0,0,0,2,2,6,9,12,7,12,6,7,14,6,23,111,59
"01041",0,0,0,0,0,0,0,0,1,0,1,3,5,9,14,19,1,20,7,25,11,7
"01043",0,0,0,0,0,0,0,1,6,8,15,12,5,10,5,6,5,41,49,76,67,50
"01045",0,0,0,0,0,0,0,0,0,1,5,8,9,4,13,17,20,29,19,39,34,21
"01047",0,0,0,0,0,0,0,0,2,5,3,11,11,10,53,42,45,73,41,125,175,120
"01049",0,0,0,0,0,0,0,0,4,6,8,16,27,15,60,54,19,34,17,43,95,91
"01051",0,0,0,0,0,0,1,5,6,7,11,24,20,14,42,48,64,81,58,104,161,98
"01053",0,0,0,0,0,0,0,0,1,1,4,6,10,7,6,4,0,18,22,20,38,53
"01055",0,0,0,0,0,0,0,0,5,16,43,24,33,18,27,33,26,22,18,33,80,115
"01057",0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,2,2,3,10,34,5
"01059",0,0,0,0,0,0,0,0,3,2,3,9,15,46,124,107,113,118,53,72,108,43
"01061",0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,7,9,11,6,1,3,6
"01063",0,0,0,0,0,0,0,0,1,4,8,11,20,10,16,9,9,5,2,22,34,9
"01065",0,0,0,0,0,0,0,0,0,3,4,15,17,11,12,17,40,38,35,31,38,11
"01067",0,0,0,0,0,0,0,0,0,2,8,6,6,2,3,10,13,23,11,13,14,17
"01069",0,0,0,0,0,0,0,0,4,8,21,30,13,14,12,27,27,48,23,52,73,33
"01071",0,0,0,0,0,0,0,1,4,7,10,10,13,4,10,2,8,7,10,27,37,32
"01073",0,0,0,0,0,0,1,49,129,190,186,90,152,132,165,180,224,246,183,412,496,543
"01075",0,0,0,0,0,0,0,1,0,0,6,0,3,1,2,1,3,6,5,6,21,8
"01077",0,0,0,0,0,0,0,1,10,3,6,3,2,25,37,23,12,34,19,41,74,44
"01079",0,0,0,0,0,0,0,0,3,1,4,0,4,1,8,8,11,8,3,9,14,13
"01081",0,0,0,0,0,0,0,11,42,46,116,85,51,40,28,25,27,65,27,79,185,193
"01083",0,0,0,0,0,0,1,0,15,14,6,2,3,3,11,9,8,20,18,65,87,59
"01085",0,0,0,0,0,0,0,0,1,1,10,13,11,31,21,34,50,55,42,67,78,22
"01087",0,0,0,0,0,0,0,0,0,5,4,15,5,8,7,10,4,14,22,23,23,15
"01089",0,0,0,0,0,0,0,7,54,62,54,20,5,23,19,30,12,38,35,97,215,171
"01091",0,0,0,0,0,0,0,0,2,6,7,9,15,13,24,25,24,35,19,25,34,18
"01093",0,0,0,0,0,0,0,0,7,9,23,21,9,9,17,6,6,13,5,7,38,18
"01095",0,0,0,0,0,0,0,0,4,13,55,51,144,61,197,87,30,39,33,97,227,237
"01097",0,0,0,0,0,0,0,2,21,80,279,245,218,254,308,247,262,246,179,282,298,320
"01099",0,0,0,0,0,0,0,0,0,5,1,1,4,2,2,3,5,13,13,58,47,21
"01101",0,0,0,0,0,0,1,2,15,43,31,115,67,81,178,254,309,494,315,638,606,365
"01103",0,0,0,0,0,0,0,0,13,11,12,9,10,16,16,22,35,100,70,202,201,149
"01105",0,0,0,0,0,0,0,0,0,0,3,6,0,1,8,2,8,7,8,19,24,16
"01107",0,0,0,0,0,0,0,0,1,10,8,13,13,5,13,10,13,23,12,16,17,25
"01109",0,0,0,0,0,0,0,0,4,6,8,11,29,11,18,18,22,64,32,75,58,27
"01111",0,0,0,0,0,0,0,0,1,9,12,29,9,2,38,19,4,2,3,10,6,8
"01113",0,0,0,0,0,0,0,0,1,3,16,15,18,7,13,23,24,42,25,78,84,62
"01115",0,0,0,0,0,0,0,1,8,14,14,15,11,10,6,9,10,20,19,21,43,35
"01117",0,0,0,0,0,0,0,10,60,45,70,63,46,26,38,33,29,77,39,60,163,138
"01119",0,0,0,0,0,0,0,0,0,6,12,15,18,17,25,27,52,44,20,21,11,4
"01121",0,0,0,0,0,0,0,1,3,8,20,10,12,7,11,3,10,21,15,28,28,30
"01123",0,0,0,0,0,0,0,0,5,15,33,107,101,25,29,36,36,35,13,20,58,28
"01125",0,0,0,0,0,0,1,3,18,19,50,50,41,28,59,63,132,256,133,303,385,217
"01127",0,0,0,0,0,0,0,1,23,25,23,11,6,8,8,14,60,151,67,126,151,87
"01129",0,0,0,0,0,0,0,1,1,3,6,3,5,16,13,12,3,4,7,12,8,3
"01131",0,0,0,0,0,0,0,0,2,4,12,22,13,14,10,15,18,31,17,42,42,21
"01133",0,0,0,0,0,0,0,0,2,1,1,5,1,5,5,8,24,35,5,19,62,37
"02013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020",0,0,0,0,0,0,1,3,39,30,39,38,18,17,9,4,8,7,51,43,31,17
"02050",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0
"02060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02090",0,0,0,0,0,0,0,3,16,23,34,3,0,3,1,2,0,0,0,4,18,23
"02100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"02105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02110",0,0,0,0,0,0,0,1,3,7,4,9,3,0,0,2,2,2,0,4,2,0
"02122",0,0,0,0,0,0,0,0,5,5,5,2,2,2,2,1,2,10,32,34,15,9
