"fips","1.28.20","2.12.20","2.19.20","2.25.20","2.5.20","3.11.20","3.18.20","3.24.20","3.30.20","3.9.20","4.15.20","4.21.20","4.28.20","4.7.20","5.13.20","5.2.20","5.6.20"
"01001",22,0,0,0,0,0,0,0,1,6,5,11,7,10,13,38,36
"01003",9,0,0,0,0,0,0,1,3,15,23,45,36,48,18,38,35
"01005",14,0,0,0,0,0,0,0,0,0,3,8,17,9,10,20,23
"01007",4,0,0,0,0,0,0,0,0,3,5,9,15,10,1,3,5
"01009",2,0,0,0,0,0,0,0,0,5,5,6,10,8,6,5,2
"01011",37,0,0,0,0,0,0,0,0,2,0,6,3,1,6,8,26
"01013",34,0,0,0,0,0,0,0,0,1,1,6,7,30,75,104,71
"01015",4,0,0,0,0,0,0,0,2,7,39,14,21,9,22,12,7
"01017",1,0,0,0,0,0,0,0,5,31,66,114,43,31,14,20,5
"01019",4,0,0,0,0,0,0,0,0,2,4,3,3,3,2,7,5
"01021",5,0,0,0,0,0,0,0,0,11,9,13,11,8,8,9,11
"01023",43,0,0,0,0,0,0,0,0,3,3,6,6,21,15,15,23
"01025",11,0,0,0,0,0,0,0,0,0,10,11,3,4,15,21,17
"01027",0,0,0,0,0,0,0,0,0,2,7,5,5,0,5,3,0
"01029",0,0,0,0,0,0,0,0,0,5,7,0,0,0,1,0,0
"01031",14,0,0,0,0,0,0,0,0,0,8,28,32,37,29,21,20
"01033",19,0,0,0,0,0,0,0,0,4,3,4,5,11,15,30,26
"01035",3,0,0,0,0,0,0,0,0,0,2,3,4,0,0,5,7
"01037",0,0,0,0,0,0,0,0,0,4,5,9,6,5,2,2,0
"01039",5,0,0,0,0,0,0,0,0,2,3,11,10,9,11,10,2
"01041",1,0,0,0,0,0,0,0,0,1,1,1,3,10,10,20,6
"01043",3,0,0,0,0,0,0,0,3,5,14,18,4,8,6,9,3
"01045",14,0,0,0,0,0,0,0,0,0,4,8,9,4,9,18,11
"01047",23,0,0,0,0,0,0,0,0,2,5,10,12,8,31,56,35
"01049",14,0,0,0,0,0,0,0,0,4,10,15,22,25,23,68,28
"01051",35,0,0,0,0,0,0,2,6,4,10,21,30,9,39,35,51
"01053",0,0,0,0,0,0,0,0,0,1,2,7,7,10,3,8,1
"01055",10,0,0,0,0,0,0,0,0,8,35,35,32,20,22,44,19
"01057",2,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,0
"01059",58,0,0,0,0,0,0,0,1,2,4,5,6,26,108,112,100
"01061",5,0,0,0,0,0,0,0,0,0,0,1,3,4,3,5,7
"01063",2,0,0,0,0,0,0,0,0,3,7,8,14,15,14,12,13
"01065",23,0,0,0,0,0,0,0,0,1,6,10,17,7,18,15,22
