"fips","1.28.20","2.12.20","2.19.20","2.25.20","2.5.20","3.11.20","3.18.20","3.24.20","3.30.20","3.9.20","4.15.20","4.21.20","4.28.20","4.7.20","5.13.20","5.2.20","5.26.20","5.4.20","6.10.20","6.17.20","6.4.20"
"01001",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,3
"01003",0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,1,0,0,0,0
"01005",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"01007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"01009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"01011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,2
"01013",0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,3,6,4,3,1
"01015",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
"01017",0,0,0,0,0,0,0,0,1,4,3,3,7,3,0,1,1,2,1,0,1
"01019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1
"01021",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"01023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,1,1
"01025",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"01027",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"01029",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"01031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"01033",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
"01035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"01037",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"01039",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"01041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"01043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"01045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0
"01049",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0
"01051",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,0,2
"01053",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
"01055",0,0,0,0,0,0,0,0,0,2,4,1,1,2,0,0,1,0,1,0,0
"01057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"01059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,1,0
"01061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01063",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0
"01065",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,2,3,4
"01067",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"01069",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0
"01071",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"01073",0,0,0,0,0,0,0,0,0,4,4,7,18,15,12,14,14,14,4,11,9
"01075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
"01079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081",0,0,0,0,0,0,0,0,0,2,4,5,13,4,2,1,1,1,1,1,0
"01083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01085",0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,2,0,2,1
"01087",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0
"01089",0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,1
"01091",0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,3,2
"01093",0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,1,1,0,1,0
"01095",0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,0,0,0,0,0
"01097",0,0,0,0,0,0,0,0,0,5,4,9,23,21,23,16,10,5,8,5,4
"01099",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"01101",0,0,0,0,0,0,0,0,0,1,0,0,3,3,8,5,12,8,8,20,13
"01103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"01105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01107",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0
"01109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"01111",0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,0,0,1,0,0
"01113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"01117",0,0,0,0,0,0,0,0,0,5,0,1,3,4,4,2,0,0,0,1,2
"01119",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,1,3,1
"01121",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1
"01123",0,0,0,0,0,0,0,0,0,1,1,7,8,1,24,15,6,2,1,0,4
"01125",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,3,3,7,6
"01127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2
"01129",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0
"01131",0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,1,0
"01133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"02013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020",0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0
"02050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02090",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"02100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02122",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"02130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02170",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"02180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02195",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"02198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04001",0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,10,5,14,10,7,10
"04003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2
"04005",0,0,0,0,0,0,0,0,2,8,11,5,12,6,11,9,8,9,4,2,3
"04007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"04009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"04011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"04012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"04013",0,0,0,0,0,0,0,2,2,27,17,27,47,46,79,72,65,49,58,60,81
"04015",0,0,0,0,0,0,0,0,0,0,2,0,2,11,9,4,6,11,13,8,7
"04017",0,0,0,0,0,0,0,0,1,5,1,4,7,4,14,12,8,8,8,14,9
"04019",0,0,0,0,0,0,0,0,6,8,15,27,20,13,45,23,16,12,20,18,19
"04021",0,0,0,0,0,0,0,0,0,0,3,4,2,4,6,12,6,2,2,3,6
"04023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1
"04025",0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,1,0
"04027",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,7,16,11,13
"05001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"05005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6
"05009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05011",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"05013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"05017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"05019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"05023",0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
"05025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05027",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"05029",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"05031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
"05033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05035",0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,2,0,0,0,1
"05037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"05039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05043",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"05045",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"05047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"05053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05057",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"05059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"05067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05069",0,0,0,0,0,0,0,0,0,0,3,3,3,8,2,0,4,2,1,2,0
"05071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05073",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"05075",0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,4,0,0
"05077",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"05079",0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,2,0,0
"05081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05091",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"05093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"05095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"05101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05107",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"05109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05111",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
