"fips","1.28.20","2.12.20","2.19.20","2.25.20","2.5.20","3.11.20","3.18.20","3.24.20","3.30.20","3.9.20","4.15.20","4.21.20","4.28.20","4.7.20","5.13.20","5.2.20","5.6.20"
"01001",0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"01003",1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1
"01005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"01007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"01009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"01011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"01013",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4
"01015",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"01017",1,0,0,0,0,0,0,0,0,3,4,1,5,6,2,0,1
"01019",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"01023",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"01025",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"01027",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"01029",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"01031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"01033",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"01035",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01037",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"01039",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"01041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"01043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"01049",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"01051",1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2
"01053",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"01055",0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,0,0
"01057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"01061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01063",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
"01065",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"01067",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"01069",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"01071",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"01073",10,0,0,0,0,0,0,0,0,0,5,5,6,25,8,15,14
"01075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01077",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"01079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01081",1,0,0,0,0,0,0,0,0,2,0,6,6,11,3,2,1
"01083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01085",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2
"01087",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"01089",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"01091",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1
"01093",1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1
"01095",0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,0,1
"01097",4,0,0,0,0,0,0,0,0,1,5,6,16,18,25,24,8
"01099",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"01101",5,0,0,0,0,0,0,0,0,1,0,0,2,2,3,10,6
"01103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"01105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01107",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"01109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01111",0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0
"01113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"01117",0,0,0,0,0,0,0,0,0,2,3,0,1,4,3,5,1
"01119",2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
"01121",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"01123",5,0,0,0,0,0,0,0,0,1,0,3,7,6,5,28,7
"01125",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0
"01127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"01129",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0
"01131",1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
"01133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"02050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"02100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"02130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"02180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"02198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04001",3,0,0,0,0,0,0,0,0,0,3,1,1,0,2,4,9
"04003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"04005",3,0,0,0,0,0,0,0,1,3,6,12,9,7,8,12,8
"04007",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"04009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04012",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"04013",29,0,0,0,0,0,0,0,3,5,28,18,29,54,38,84,80
"04015",5,0,0,0,0,0,0,0,0,0,0,2,1,1,12,10,2
"04017",5,0,0,0,0,0,0,0,0,1,5,3,2,7,8,15,7
"04019",16,0,0,0,0,0,0,0,1,7,7,17,33,13,11,47,22
"04021",5,0,0,0,0,0,0,0,0,0,0,5,2,2,6,5,12
"04023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04025",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1
"04027",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
"05001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
